DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:114:32: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:114:32: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:114:42: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:126:45: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:126:45: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:126:55: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/pub/src/imp/createContext.ts:23:48: unexpected token 'PlusToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/pub/src/imp/createContext.ts:23:48: unexpected token 'PlusToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/pub/src/imp/createContext.ts:35:41: unexpected token 'PlusEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/pub/src/imp/createContext.ts:35:41: unexpected token 'PlusEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/test/src/imp/procedures/runTests.ts:32:41: unexpected token 'PlusEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-fountain-pen/test/src/imp/procedures/runTests.ts:32:41: unexpected token 'PlusEqualsToken', expected: null
DEBUG path error: unexpected directory src/esc
DEBUG path error: unexpected directory src/esc
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:20:40: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:20:40: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:36:65: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:36:65: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:49:65: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:49:65: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:88:49: unexpected token 'MinusToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:88:49: unexpected token 'MinusToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:88:73: unexpected token 'TemplateMiddle', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:89:42: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:89:42: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-pareto-test/pub/src/imp/implementation/serializeTestResult.ts:89:46: unexpected token 'QuestionToken', expected: null
